orden,familia,subfamilia,genero,especie,tipo_de_hoja,posicion,disposición,estipula,exudado,margen,Glandula,Presencia_olor,olor,otro,excepcion
Fabales,fabaceae,mimosoideae,General,,Recomompuestas,Alternas,Distica o Espiral,Si,No,Entero,Si,Si,Guisante,,No
Fabales,fabaceae,mimosoideae,Calliandra,,Compuesta,Alternas,Distica o Espiral,Si,No,Entero,No,Si,Guisante,,Si
Fabales,fabaceae,mimosoideae,Parkia,,Recompuestas,Alternas,Distica o Espiral,Si,No,Entero,Si,Si,Guisante,,No
Fabales,fabaceae,mimosoideae,Pithecelobium,,Biyugado compuesta,Alternas,Distica o Espiral,Si,No,Entero,Si,Si,Guisante,,Si
Fabales,fabaceae,mimosoideae,Inga,alba,Compuesta,Alternas,Distica o Espiral,Si,No,Entero,Si,Si,Guisante,Raquis Alado,No
Fabales,fabaceae,mimosoideae,Cedrelinga,cateaeformis,Recompuestas,Alternas,Distica o Espiral,Si,No,Entero,Si,Si,Guisante,,No
Fabales,fabaceae,mimosoideae,Adenanthera,,Recompuestas,Alternas,Distica o Espiral,Si,No,Entero,No,Si,Guisante,,Si
Fabales,fabaceae,mimosoideae,Mimosa,,Compuesta o Biyugada,Alternas,Distica o Espiral,Si,Si,Entero,No,Si,Guisante,,Si
Fabales,fabaceae,mimosoideae,Pentacletha,,Compuesta,Alternas,Espigas,Si,No,Entero,No,Si,Guisante,,Si
Fabales,fabaceae,mimosoideae,Samanea,,Compuesta,Alternas,Distica o Espiral,Si,No,Entero,Si,Si,Guisante,Glandulas en raquis,
Fabales,fabaceae,caesalpinioideae,General,,Compuestas,Alternas,Distica o Espiral,Si,No,Entero,No,No,,"Si son imparipinadas, foliolos alternos",No
Fabales,fabaceae,caesalpinioideae,Senna,aculeata,Compuesta,Alternas,Distica o Espiral,Si,No,Entero,No,No,,,No
Fabales,fabaceae,caesalpinioideae,Bauhinia,guianensis,Simple Bilobulada,Alternas,Distica o Espiral,Si,No,Entero,No,No,,,Si
Fabales,fabaceae,caesalpinioideae,Peltogyne,,Compuesta Bifoliada,Alternas,Distica o Espiral,Si,No,Entero,No,No,,,Si
Fabales,fabaceae,caesalpinioideae,Macrolobium,,Compuesta Bifoliada,Alternas,Distica o Espiral,Si,No,Entero,No,No,,,Si
Fabales,fabaceae,caesalpinioideae,Hymenaea,,Compuesta Bifoliada,Alternas,Distica o Espiral,Si,No,Entero,No,No,,Peciolos Alargados,Si
Fabales,fabaceae,caesalpinioideae,Tachigali,paniculata,Compuesta,Alternas,Distica o Espiral,Si,No,Entero,No,No,,,No
Fabales,fabaceae,caesalpinioideae,Cynometra,,Compuesta,Alternas,Distica o Espiral,Si,No,Entero,Si,No,,,No
Fabales,fabaceae,papilionoideae,General,,Compuestas,Alternas,Distica o Espiral,Si,No,Entero,No,Sí,Guisante,"Tienden a ser trifoliadas o imparipinados, con folios opuestos",No
Fabales,fabaceae,papilionoideae,Erythrina,,Compuesta Trifoliada,Alternas,Distica o Espiral,Si,No,Entero,No,Si,Guisante,,Si
Fabales,fabaceae,papilionoideae,Centrolobium,,Compuesta,Alternas,Distica o Espiral,Si,No,Entero,No,Si,,Puntos blancos en envés,No
Fabales,fabaceae,papilionoideae,Machaerium,,Compuesta,Alternas,Distica o Espiral,Si,Si,Entero,No,Si,Guisante,Exudado Rojo,Si
Fabales,fabaceae,papilionoideae,Platypodium,,Compuesta ,Alterna,Distica o Espiral,Si,No,Entero,No,Si,Guisante,,No
Myrtales,Combretaceae,,General,,Simples,Alternas u Opuestas,Espiralado agrupada,No,No,Entero,Si y No,No,,,No
Myrtales,Combretaceae,,Terminalia,amazonica,Simples,Alternas u Opuestas,Espiralado Agrupada,No,No,Entero,Si,No,,,No
Myrtales,Combretaceae,,Buchenavia,,Simples,Alternas ,Espiralado Agrupada,No,No,Entero,Si,No,,Pubesencia Rojiza,No
Myrtales,Combretaceae,,Bucida,buceras,Simples,Alternas u Opuestas,Espiralado Agrupada,No,No,Entero,No,No,,Espinas,No
Myrtales,Combretaceae,,Conocarpus,erectus,Simples,Alternas,Espiralado Agrupada,No,No,Entero,Si,No,,,No
Myrtales,Combretaceae,,Languncularia,,Simples,Opuestas,Espiralado Agrupada,No,No,Entero,Si,No,,,No
Myrtales,Combretaceae,,Combretum,assimile,Simples,Alternas u Opuestas,Espiralado Agrupada,No,No,Entero,No,No,,Suele ser vejuco,No
Myrtales,Lythraceae,,General,,Simples,Opuestas o Verticiladas,Espiralada o Decusada,Si,No,Entero,Si y No,No,,"Similar a Myrtaceae, tallos tetragonales, estípula negra",No
Myrtales,Lythraceae,,Lafoensia,,Simples,Opuestas o Verticiladas,Espiralada o Decusada,Si,No,Entero,No,No,,"Similar a Myrtaceae, tallos tetragonales, estípula negra",No
Myrtales,Lythraceae,,Adenaria,,Simples,Opuestas o Verticiladas,Espiralada o Decusada,Si,No,Entero,Si,No,,"Similar a Myrtaceae, tallos tetragonales, estípula negra",No
Myrtales,Lythraceae,,Lagerstroemia,,Simples,Opuestas o Verticiladas,Espiralada o Decusada,Si,No,Entero,No,No,,"Similar a Myrtaceae, tallos tetragonales, estípula negra",No
Myrtales,Melastomataceae,,General,,Simples,Opuestas,Decusadas,No,No,Entero,No,No,,3 a 7 nervaduras,No
Myrtales,Melastomataceae,,Bellucia,,Simples,Opuestas,Decusadas,No,No,Entero,No,No,,3 a 7 nervaduras,No
Myrtales,Melastomataceae,,Blakea,bracteata,Simples,Opuestas,Decusadas,No,No,Entero,No,No,,3 a 7 nervaduras,No
Myrtales,Melastomataceae,,Mouriri,myrtifolia,Simples,Opuestas,Decusadas,No,No,Entero,No,No,,No trinerviacion,Si
Myrtales,Melastomataceae,,Mouriri,nigra,Simples,Opuestas,Decusadas,No,No,Entero,No,No,,No trinerviacion,Si
Myrtales,Melastomataceae,,Miconia,,Simples,Opuestas,Decusadas,No,No,Entero,No,No,,3 a 7 nervaduras,No
Myrtales,Melastomataceae,,Macairea,,Simples,Opuestas,Decusadas,No,No,Entero,No,No,,3 a 7 nervaduras,No
Myrtales,Melastomataceae,,Tibouchina,,Simples,Opuestas,Decusadas,No,No,Entero,No,No,,3 a 7 nervaduras,No
Myrtales,Myrtaceae,,General,,Simples,Alternas u Opuestas,Decusadas o Verticiladas,No,No,Entero,Si,Si,,Aromas esenciales,No
Myrtales,Myrtaceae,,Myrcia,splendis,Simples,Alternas u Opuestas,Decusadas o Verticiladas,No,No,Entero,Si,Si,,Aromas esenciales,No
Myrtales,Myrtaceae,,Psidium,guajava,Simples,Alternas u Opuestas,Decusadas o Verticiladas,No,No,Entero,Si,Si,Guayaba ,Aromas esenciales,No
Myrtales,Myrtaceae,,Syzygium,,Simples,Alternas u Opuestas,Decusadas o Verticiladas,No,No,Entero,Si,Si,Cloaca,Aromas esenciales,No
Myrtales,Myrtaceae,,Eugenia,,Simples,Alternas u Opuestas,Decusadas o Verticiladas,No,No,Entero,Si,Si,Cloaca,Aromas esenciales,No
Myrtales,Myrtaceae,,Eucalyptus,,Simples,Alternas u Opuestas,Decusadas o Verticiladas,No,No,Entero,Si,Si,Eucalipto,Aromas esenciales,No
Myrtales,Myrtaceae,,Calistemo,,Simples,Alternas u Opuestas,Decusadas o Verticiladas,No,No,Entero,Si,Si,Calistemo,Aromas esenciales,No
Myrtales,vochysiaceae,,General,,Simples,Opuestas o Verticiladas,,Si y No,No,Entero,Si y No,No,,,No
Myrtales,vochysiaceae,,Erisma,bicolor,Simples,Opuestas,DecusadaVerticiladas,Si,No,Entero,No,No,,Pelos Estrellados,No
Myrtales,vochysiaceae,,Ruiztenaria,,Simples,Opuestas,DecusadaVerticiladas,Si,No,Entero,Si,No,,Glandula estipular,No
Myrtales,vochysiaceae,,Qualea,Grandiflora,Simples,Opuestas,DecusadaVerticiladas,Si,No,Entero,Si,No,,"Nerviación Paralela, glandula estipular",No
Myrtales,vochysiaceae,,Vochysia,acuminata,Simples,Verticiladas,DecusadaVerticiladas,Si,No,Entero,No,No,,,No
Malpighiales,Achariaceae,,General,,Simples,Alternas,Espiraladas,Si,No,Entero o Aserrado,No,No,,Peciolo pulvinulado,No
Malpighiales,Achariaceae,,Carpotroche,longifolia,Simples,Alternas,Espiraladas,Si,No,Entero o Aserrado,No,No,,Peciolo pulvinulado,No
Malpighiales,Achariaceae,,Mayna,grandifolia,Simples,Alternas,Espiraladas,Si,No,Entero o Aserrado,No,No,,Peciolo pulvinulado,No
Malpighiales,Achariaceae,,lindakeria,paludosa,Simples,Alternas,Espiraladas,Si,No,Entero o Aserrado,No,No,,Peciolo pulvinulado,No
Malpighiales,Calophylaceae,,General,,Simples,Opuestas,Decusadas,No,Si,Entero ,No,No,,"Exudados amarilloverdosos o recinosos, ultimo par de hojas enfrentadas, puntos translucidos, nervaduras secundarias paralelas",No
Malpighiales,Calophylaceae,,calophyllum,brasiliense,Simples,Opuestas,Decusadas,No,Si,Entero ,No,No,,"Exudados amarilloverdosos o recinosos, ultimo par de hojas enfrentadas, puntos translucidos, nervaduras secundarias paralelas",No
Malpighiales,Calophylaceae,,caraipa,densifolia,Simples,Opuestas,Decusadas,No,Si,Entero ,No,No,,"Exudados amarilloverdosos o recinosos, ultimo par de hojas enfrentadas, puntos translucidos, nervaduras secundarias paralelas",No
Malpighiales,Calophylaceae,,mahurea,,Simples,Opuestas,Decusadas,No,Si,Entero ,No,No,,"Exudados amarilloverdosos o recinosos, ultimo par de hojas enfrentadas, puntos translucidos, nervaduras secundarias paralelas",No
Malpighiales,Calophylaceae,,mammea,,Simples,Opuestas,Decusadas,No,Si,Entero ,No,No,,"Exudados amarilloverdosos o recinosos, ultimo par de hojas enfrentadas, puntos translucidos, nervaduras secundarias paralelas",No
Malpighiales,Calophylaceae,,marila,,Simples,Opuestas,Decusadas,No,Si,Entero ,No,No,,"Exudados amarilloverdosos o recinosos, ultimo par de hojas enfrentadas, puntos translucidos, nervaduras secundarias paralelas",No
Malpighiales,Chrysobalanaceae,,General,,Simples,Alternas,Espiraladas,Si,Si y No,Entero,Si,No,,Estipulas caedisas,No
Malpighiales,Chrysobalanaceae,,licania,affinis,Simples,Alternas,Espiraladas,Si,Si y No,Entero,Si,No,,Envés blanquesino,No
Malpighiales,Chrysobalanaceae,,couepia,chrysocalyx,Simples,Alternas,Espiraladas,Si,Si y No,Entero,Si,No,,Envés blanquesino,No
Malpighiales,Chrysobalanaceae,,parinari,excelsa,Simples,Alternas,Espiraladas,Si,Si y No,Entero,Si,No,,"Envés dorado, estípulas grandes",No
Malpighiales,Clusiaceae,,General,,Simples,Opuestas,,No,Si,Entero,No,No,,"Latex amarilloverdoso. peciolos invaginados, ultimo par de hojas muy horizontal",No
